Year,LocationAbbr,LocationDesc,GeographicLevel,DataSource,Class,Topic,Data_Value,Data_Value_Unit,Data_Value_Type,Data_Value_Footnote_Symbol,Data_Value_Footnote,StratificationCategory1,Stratification1,StratificationCategory2,Stratification2,TopicID,LocationID,Location 1
2014,MA,Hampden County,County,NVSS,Cardiovascular Diseases,Heart Disease Mortality,381.8,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate",,,Gender,Male,Race/Ethnicity,Overall,T2,25013,"(42.132769, -72.629706)"
2014,MA,Hampshire County,County,NVSS,Cardiovascular Diseases,Heart Disease Mortality,379.9,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate",,,Gender,Male,Race/Ethnicity,Overall,T2,25015,"(42.339412, -72.663762)"
2014,MA,Middlesex County,County,NVSS,Cardiovascular Diseases,Heart Disease Mortality,306.3,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate",,,Gender,Male,Race/Ethnicity,Overall,T2,25017,"(42.479929, -71.393454)"
2014,MA,Nantucket County,County,NVSS,Cardiovascular Diseases,Heart Disease Mortality,350.2,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate",,,Gender,Male,Race/Ethnicity,Overall,T2,25019,"(41.28245, -70.062242)"
2014,MA,Norfolk County,County,NVSS,Cardiovascular Diseases,Heart Disease Mortality,336,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate",,,Gender,Male,Race/Ethnicity,Overall,T2,25021,"(42.155308, -71.217711)"
2014,MA,Plymouth County,County,NVSS,Cardiovascular Diseases,Heart Disease Mortality,382.3,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate",,,Gender,Male,Race/Ethnicity,Overall,T2,25023,"(41.947911, -70.806362)"
2014,MA,Suffolk County,County,NVSS,Cardiovascular Diseases,Heart Disease Mortality,327.8,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate",,,Gender,Male,Race/Ethnicity,Overall,T2,25025,"(42.333204, -71.072183)"
2014,MA,Worcester County,County,NVSS,Cardiovascular Diseases,Heart Disease Mortality,373.6,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate",,,Gender,Male,Race/Ethnicity,Overall,T2,25027,"(42.347911, -71.907684)"
2014,MA,Barnstable County,County,NVSS,Cardiovascular Diseases,Heart Disease Mortality,229.2,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate",,,Gender,Female,Race/Ethnicity,Overall,T2,25001,"(41.728449, -70.299466)"
2014,MA,Berkshire County,County,NVSS,Cardiovascular Diseases,Heart Disease Mortality,222.3,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate",,,Gender,Female,Race/Ethnicity,Overall,T2,25003,"(42.370735, -73.20077)"
2014,MA,Bristol County,County,NVSS,Cardiovascular Diseases,Heart Disease Mortality,238.1,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate",,,Gender,Female,Race/Ethnicity,Overall,T2,25005,"(41.801087, -71.120082)"
2014,MA,Dukes County,County,NVSS,Cardiovascular Diseases,Heart Disease Mortality,219.3,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate",,,Gender,Female,Race/Ethnicity,Overall,T2,25007,"(41.382239, -70.645265)"
2014,MA,Essex County,County,NVSS,Cardiovascular Diseases,Heart Disease Mortality,210.5,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate",,,Gender,Female,Race/Ethnicity,Overall,T2,25009,"(42.66825, -70.947877)"
2014,MA,Franklin County,County,NVSS,Cardiovascular Diseases,Heart Disease Mortality,223.8,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate",,,Gender,Female,Race/Ethnicity,Overall,T2,25011,"(42.581073, -72.585851)"
2014,MA,Hampden County,County,NVSS,Cardiovascular Diseases,Heart Disease Mortality,229.9,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate",,,Gender,Female,Race/Ethnicity,Overall,T2,25013,"(42.132769, -72.629706)"
2014,MA,Hampshire County,County,NVSS,Cardiovascular Diseases,Heart Disease Mortality,224.2,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate",,,Gender,Female,Race/Ethnicity,Overall,T2,25015,"(42.339412, -72.663762)"
2014,MA,Middlesex County,County,NVSS,Cardiovascular Diseases,Heart Disease Mortality,187.4,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate",,,Gender,Female,Race/Ethnicity,Overall,T2,25017,"(42.479929, -71.393454)"
2014,MA,Nantucket County,County,NVSS,Cardiovascular Diseases,Heart Disease Mortality,219.3,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate",,,Gender,Female,Race/Ethnicity,Overall,T2,25019,"(41.28245, -70.062242)"
2014,MA,Norfolk County,County,NVSS,Cardiovascular Diseases,Heart Disease Mortality,206.6,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate",,,Gender,Female,Race/Ethnicity,Overall,T2,25021,"(42.155308, -71.217711)"
2014,MA,Plymouth County,County,NVSS,Cardiovascular Diseases,Heart Disease Mortality,232.4,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate",,,Gender,Female,Race/Ethnicity,Overall,T2,25023,"(41.947911, -70.806362)"
2014,MA,Suffolk County,County,NVSS,Cardiovascular Diseases,Heart Disease Mortality,191.5,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate",,,Gender,Female,Race/Ethnicity,Overall,T2,25025,"(42.333204, -71.072183)"
2014,MA,Worcester County,County,NVSS,Cardiovascular Diseases,Heart Disease Mortality,226.1,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate",,,Gender,Female,Race/Ethnicity,Overall,T2,25027,"(42.347911, -71.907684)"
2014,MA,Barnstable County,County,NVSS,Cardiovascular Diseases,Heart Disease Mortality,285.7,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate",,,Gender,Overall,Race/Ethnicity,White,T2,25001,"(41.728449, -70.299466)"
2014,MA,Berkshire County,County,NVSS,Cardiovascular Diseases,Heart Disease Mortality,303.9,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate",,,Gender,Overall,Race/Ethnicity,White,T2,25003,"(42.370735, -73.20077)"
2014,MA,Bristol County,County,NVSS,Cardiovascular Diseases,Heart Disease Mortality,307.5,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate",,,Gender,Overall,Race/Ethnicity,White,T2,25005,"(41.801087, -71.120082)"
2014,MA,Dukes County,County,NVSS,Cardiovascular Diseases,Heart Disease Mortality,275.9,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate",,,Gender,Overall,Race/Ethnicity,White,T2,25007,"(41.382239, -70.645265)"
2014,MA,Essex County,County,NVSS,Cardiovascular Diseases,Heart Disease Mortality,283.7,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate",,,Gender,Overall,Race/Ethnicity,White,T2,25009,"(42.66825, -70.947877)"
2014,MA,Franklin County,County,NVSS,Cardiovascular Diseases,Heart Disease Mortality,296.1,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate",,,Gender,Overall,Race/Ethnicity,White,T2,25011,"(42.581073, -72.585851)"
2014,MA,Hampden County,County,NVSS,Cardiovascular Diseases,Heart Disease Mortality,301,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate",,,Gender,Overall,Race/Ethnicity,White,T2,25013,"(42.132769, -72.629706)"
2014,MA,Hampshire County,County,NVSS,Cardiovascular Diseases,Heart Disease Mortality,296.8,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate",,,Gender,Overall,Race/Ethnicity,White,T2,25015,"(42.339412, -72.663762)"
2014,MA,Middlesex County,County,NVSS,Cardiovascular Diseases,Heart Disease Mortality,248.8,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate",,,Gender,Overall,Race/Ethnicity,White,T2,25017,"(42.479929, -71.393454)"
2014,MA,Nantucket County,County,NVSS,Cardiovascular Diseases,Heart Disease Mortality,275.5,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate",,,Gender,Overall,Race/Ethnicity,White,T2,25019,"(41.28245, -70.062242)"
2014,MA,Norfolk County,County,NVSS,Cardiovascular Diseases,Heart Disease Mortality,272.6,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate",,,Gender,Overall,Race/Ethnicity,White,T2,25021,"(42.155308, -71.217711)"
2014,MA,Plymouth County,County,NVSS,Cardiovascular Diseases,Heart Disease Mortality,301.9,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate",,,Gender,Overall,Race/Ethnicity,White,T2,25023,"(41.947911, -70.806362)"
2014,MA,Suffolk County,County,NVSS,Cardiovascular Diseases,Heart Disease Mortality,290.3,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate",,,Gender,Overall,Race/Ethnicity,White,T2,25025,"(42.333204, -71.072183)"
2014,MA,Worcester County,County,NVSS,Cardiovascular Diseases,Heart Disease Mortality,297.3,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate",,,Gender,Overall,Race/Ethnicity,White,T2,25027,"(42.347911, -71.907684)"
2014,MA,Barnstable County,County,NVSS,Cardiovascular Diseases,Heart Disease Mortality,368.8,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate",,,Gender,Male,Race/Ethnicity,White,T2,25001,"(41.728449, -70.299466)"
2014,MA,Berkshire County,County,NVSS,Cardiovascular Diseases,Heart Disease Mortality,411.3,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate",,,Gender,Male,Race/Ethnicity,White,T2,25003,"(42.370735, -73.20077)"
2014,MA,Bristol County,County,NVSS,Cardiovascular Diseases,Heart Disease Mortality,399.2,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate",,,Gender,Male,Race/Ethnicity,White,T2,25005,"(41.801087, -71.120082)"
2014,MA,Dukes County,County,NVSS,Cardiovascular Diseases,Heart Disease Mortality,352.7,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate",,,Gender,Male,Race/Ethnicity,White,T2,25007,"(41.382239, -70.645265)"
2014,MA,Essex County,County,NVSS,Cardiovascular Diseases,Heart Disease Mortality,365.6,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate",,,Gender,Male,Race/Ethnicity,White,T2,25009,"(42.66825, -70.947877)"
2014,MA,Franklin County,County,NVSS,Cardiovascular Diseases,Heart Disease Mortality,386.2,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate",,,Gender,Male,Race/Ethnicity,White,T2,25011,"(42.581073, -72.585851)"
2014,MA,Hampden County,County,NVSS,Cardiovascular Diseases,Heart Disease Mortality,393.9,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate",,,Gender,Male,Race/Ethnicity,White,T2,25013,"(42.132769, -72.629706)"
2014,MA,Hampshire County,County,NVSS,Cardiovascular Diseases,Heart Disease Mortality,391.5,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate",,,Gender,Male,Race/Ethnicity,White,T2,25015,"(42.339412, -72.663762)"
2014,MA,Middlesex County,County,NVSS,Cardiovascular Diseases,Heart Disease Mortality,321.6,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate",,,Gender,Male,Race/Ethnicity,White,T2,25017,"(42.479929, -71.393454)"
2014,MA,Nantucket County,County,NVSS,Cardiovascular Diseases,Heart Disease Mortality,352.7,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate",,,Gender,Male,Race/Ethnicity,White,T2,25019,"(41.28245, -70.062242)"
2014,MA,Norfolk County,County,NVSS,Cardiovascular Diseases,Heart Disease Mortality,356.5,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate",,,Gender,Male,Race/Ethnicity,White,T2,25021,"(42.155308, -71.217711)"
2014,MA,Plymouth County,County,NVSS,Cardiovascular Diseases,Heart Disease Mortality,386,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate",,,Gender,Male,Race/Ethnicity,White,T2,25023,"(41.947911, -70.806362)"
2014,MA,Suffolk County,County,NVSS,Cardiovascular Diseases,Heart Disease Mortality,381.9,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate",,,Gender,Male,Race/Ethnicity,White,T2,25025,"(42.333204, -71.072183)"
2014,MA,Worcester County,County,NVSS,Cardiovascular Diseases,Heart Disease Mortality,386.6,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate",,,Gender,Male,Race/Ethnicity,White,T2,25027,"(42.347911, -71.907684)"
2014,MA,Barnstable County,County,NVSS,Cardiovascular Diseases,Heart Disease Mortality,229.5,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate",,,Gender,Female,Race/Ethnicity,White,T2,25001,"(41.728449, -70.299466)"
2014,MA,Berkshire County,County,NVSS,Cardiovascular Diseases,Heart Disease Mortality,222.7,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate",,,Gender,Female,Race/Ethnicity,White,T2,25003,"(42.370735, -73.20077)"
2014,MA,Bristol County,County,NVSS,Cardiovascular Diseases,Heart Disease Mortality,239.8,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate",,,Gender,Female,Race/Ethnicity,White,T2,25005,"(41.801087, -71.120082)"
2014,MA,Dukes County,County,NVSS,Cardiovascular Diseases,Heart Disease Mortality,218.9,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate",,,Gender,Female,Race/Ethnicity,White,T2,25007,"(41.382239, -70.645265)"
2014,MA,Essex County,County,NVSS,Cardiovascular Diseases,Heart Disease Mortality,218.8,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate",,,Gender,Female,Race/Ethnicity,White,T2,25009,"(42.66825, -70.947877)"
2014,MA,Franklin County,County,NVSS,Cardiovascular Diseases,Heart Disease Mortality,227.7,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate",,,Gender,Female,Race/Ethnicity,White,T2,25011,"(42.581073, -72.585851)"
2014,MA,Hampden County,County,NVSS,Cardiovascular Diseases,Heart Disease Mortality,230,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate",,,Gender,Female,Race/Ethnicity,White,T2,25013,"(42.132769, -72.629706)"
2014,MA,Hampshire County,County,NVSS,Cardiovascular Diseases,Heart Disease Mortality,226.5,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate",,,Gender,Female,Race/Ethnicity,White,T2,25015,"(42.339412, -72.663762)"
2014,MA,Middlesex County,County,NVSS,Cardiovascular Diseases,Heart Disease Mortality,196.4,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate",,,Gender,Female,Race/Ethnicity,White,T2,25017,"(42.479929, -71.393454)"
2014,MA,Nantucket County,County,NVSS,Cardiovascular Diseases,Heart Disease Mortality,218.9,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate",,,Gender,Female,Race/Ethnicity,White,T2,25019,"(41.28245, -70.062242)"
2014,MA,Norfolk County,County,NVSS,Cardiovascular Diseases,Heart Disease Mortality,215.5,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate",,,Gender,Female,Race/Ethnicity,White,T2,25021,"(42.155308, -71.217711)"
2014,MA,Plymouth County,County,NVSS,Cardiovascular Diseases,Heart Disease Mortality,234.7,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate",,,Gender,Female,Race/Ethnicity,White,T2,25023,"(41.947911, -70.806362)"
2014,MA,Suffolk County,County,NVSS,Cardiovascular Diseases,Heart Disease Mortality,213.2,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate",,,Gender,Female,Race/Ethnicity,White,T2,25025,"(42.333204, -71.072183)"
2014,MA,Worcester County,County,NVSS,Cardiovascular Diseases,Heart Disease Mortality,230.8,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate",,,Gender,Female,Race/Ethnicity,White,T2,25027,"(42.347911, -71.907684)"
2014,MA,Barnstable County,County,NVSS,Cardiovascular Diseases,Heart Disease Mortality,297.5,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate",,,Gender,Overall,Race/Ethnicity,Black,T2,25001,"(41.728449, -70.299466)"
2014,MA,Berkshire County,County,NVSS,Cardiovascular Diseases,Heart Disease Mortality,342.1,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate",,,Gender,Overall,Race/Ethnicity,Black,T2,25003,"(42.370735, -73.20077)"
2014,MA,Bristol County,County,NVSS,Cardiovascular Diseases,Heart Disease Mortality,312,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate",,,Gender,Overall,Race/Ethnicity,Black,T2,25005,"(41.801087, -71.120082)"
2014,MA,Dukes County,County,NVSS,Cardiovascular Diseases,Heart Disease Mortality,311.2,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate",,,Gender,Overall,Race/Ethnicity,Black,T2,25007,"(41.382239, -70.645265)"
2014,MA,Essex County,County,NVSS,Cardiovascular Diseases,Heart Disease Mortality,217.7,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate",,,Gender,Overall,Race/Ethnicity,Black,T2,25009,"(42.66825, -70.947877)"
2014,MA,Franklin County,County,NVSS,Cardiovascular Diseases,Heart Disease Mortality,353.9,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate",,,Gender,Overall,Race/Ethnicity,Black,T2,25011,"(42.581073, -72.585851)"
2014,MA,Hampden County,County,NVSS,Cardiovascular Diseases,Heart Disease Mortality,292.5,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate",,,Gender,Overall,Race/Ethnicity,Black,T2,25013,"(42.132769, -72.629706)"
2014,MA,Hampshire County,County,NVSS,Cardiovascular Diseases,Heart Disease Mortality,302.2,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate",,,Gender,Overall,Race/Ethnicity,Black,T2,25015,"(42.339412, -72.663762)"
2014,MA,Middlesex County,County,NVSS,Cardiovascular Diseases,Heart Disease Mortality,199.5,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate",,,Gender,Overall,Race/Ethnicity,Black,T2,25017,"(42.479929, -71.393454)"
2014,MA,Nantucket County,County,NVSS,Cardiovascular Diseases,Heart Disease Mortality,239.9,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate",,,Gender,Overall,Race/Ethnicity,Black,T2,25019,"(41.28245, -70.062242)"
2014,MA,Norfolk County,County,NVSS,Cardiovascular Diseases,Heart Disease Mortality,216.6,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate",,,Gender,Overall,Race/Ethnicity,Black,T2,25021,"(42.155308, -71.217711)"
2014,MA,Plymouth County,County,NVSS,Cardiovascular Diseases,Heart Disease Mortality,284.5,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate",,,Gender,Overall,Race/Ethnicity,Black,T2,25023,"(41.947911, -70.806362)"
2014,MA,Suffolk County,County,NVSS,Cardiovascular Diseases,Heart Disease Mortality,215.3,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate",,,Gender,Overall,Race/Ethnicity,Black,T2,25025,"(42.333204, -71.072183)"
2014,MA,Worcester County,County,NVSS,Cardiovascular Diseases,Heart Disease Mortality,280.4,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate",,,Gender,Overall,Race/Ethnicity,Black,T2,25027,"(42.347911, -71.907684)"
2014,MA,Barnstable County,County,NVSS,Cardiovascular Diseases,Heart Disease Mortality,351.1,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate",,,Gender,Male,Race/Ethnicity,Black,T2,25001,"(41.728449, -70.299466)"
2014,MA,Berkshire County,County,NVSS,Cardiovascular Diseases,Heart Disease Mortality,437.5,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate",,,Gender,Male,Race/Ethnicity,Black,T2,25003,"(42.370735, -73.20077)"
2014,MA,Bristol County,County,NVSS,Cardiovascular Diseases,Heart Disease Mortality,373.9,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate",,,Gender,Male,Race/Ethnicity,Black,T2,25005,"(41.801087, -71.120082)"
2014,MA,Essex County,County,NVSS,Cardiovascular Diseases,Heart Disease Mortality,380.6,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate",,,Gender,Male,Race/Ethnicity,Black,T2,25009,"(42.66825, -70.947877)"
2014,MA,Franklin County,County,NVSS,Cardiovascular Diseases,Heart Disease Mortality,434.7,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate",,,Gender,Male,Race/Ethnicity,Black,T2,25011,"(42.581073, -72.585851)"
2014,MA,Hampden County,County,NVSS,Cardiovascular Diseases,Heart Disease Mortality,379,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate",,,Gender,Male,Race/Ethnicity,Black,T2,25013,"(42.132769, -72.629706)"
2014,MA,Hampshire County,County,NVSS,Cardiovascular Diseases,Heart Disease Mortality,416.5,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate",,,Gender,Male,Race/Ethnicity,Black,T2,25015,"(42.339412, -72.663762)"
2014,MA,Middlesex County,County,NVSS,Cardiovascular Diseases,Heart Disease Mortality,255.5,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate",,,Gender,Male,Race/Ethnicity,Black,T2,25017,"(42.479929, -71.393454)"
2014,MA,Norfolk County,County,NVSS,Cardiovascular Diseases,Heart Disease Mortality,265.2,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate",,,Gender,Male,Race/Ethnicity,Black,T2,25021,"(42.155308, -71.217711)"
2014,MA,Plymouth County,County,NVSS,Cardiovascular Diseases,Heart Disease Mortality,345.7,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate",,,Gender,Male,Race/Ethnicity,Black,T2,25023,"(41.947911, -70.806362)"
